school_code,school_name,school_province,province_code,province_name,year,category,batch,province_batch_score,min_score,score_diff,min_rank,avg_score,avg_rank,max_score,max_rank,plan_count,admit_count,data_source,update_time,is_complete,remark,school_type
10001,北京大学,北京,11,北京,2025,文科,本科批,510,697,187,9,703,6,725,11,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,不限 II 组,C9 联盟
10001,北京大学,北京,11,北京,2025,综合,本科批,515,687,172,41,690,28,712,53,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,物化组,C9 联盟
10001,北京大学,北京,11,北京,2025,文科,本科批,510,686,176,15,692,10,701,19,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,不限 I 组,C9 联盟
10001,北京大学,北京,12,天津,2025,综合,本科批,505,698,193,35,709,24,728,45,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,物化组,C9 联盟
10001,北京大学,北京,12,天津,2025,综合,本科批,505,697,192,37,708,25,723,48,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,不限组,C9 联盟
10001,北京大学,北京,13,河北,2025,文科,一批,490,671,181,47,684,32,687,61,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,文科试验班类,C9 联盟
10001,北京大学,北京,13,河北,2025,理科,一批,500,688,188,55,695,38,709,71,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,理科试验班类,C9 联盟
10001,北京大学,北京,14,山西,2025,文科,一批,480,664,184,37,671,25,688,48,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,一批,C9 联盟
10001,北京大学,北京,14,山西,2025,理科,一批,490,692,202,33,707,23,716,42,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,一批,C9 联盟
10001,北京大学,北京,15,内蒙古,2025,文科,一批,470,675,205,12,687,8,711,15,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,一批,C9 联盟
10001,北京大学,北京,15,内蒙古,2025,理科,一批,480,694,214,33,701,23,724,42,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,一批,C9 联盟
10001,北京大学,北京,21,辽宁,2025,文科,一批,485,662,177,25,666,17,694,32,,,北京大学本科招生网,2026-03-06T09:29:54.759491,TRUE,文科试验班类,C9 联盟
