school_code,school_name,school_province,province_code,province_name,year,category,batch,province_batch_score,min_score,score_diff,min_rank,avg_score,avg_rank,max_score,max_rank,plan_count,admit_count,data_source,update_time,is_complete,remark
10001,北京大学,北京,11,北京,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.055931,FALSE,待填充
10001,北京大学,北京,11,北京,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.055957,FALSE,待填充
10001,北京大学,北京,12,天津,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.055970,FALSE,待填充
10001,北京大学,北京,12,天津,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.055982,FALSE,待填充
10001,北京大学,北京,13,河北,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.055995,FALSE,待填充
10001,北京大学,北京,13,河北,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056006,FALSE,待填充
10001,北京大学,北京,14,山西,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056017,FALSE,待填充
10001,北京大学,北京,14,山西,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056031,FALSE,待填充
10001,北京大学,北京,15,内蒙古,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056044,FALSE,待填充
10001,北京大学,北京,15,内蒙古,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056060,FALSE,待填充
10001,北京大学,北京,21,辽宁,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056073,FALSE,待填充
10001,北京大学,北京,21,辽宁,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056086,FALSE,待填充
10001,北京大学,北京,22,吉林,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056098,FALSE,待填充
10001,北京大学,北京,22,吉林,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056109,FALSE,待填充
10001,北京大学,北京,23,黑龙江,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056122,FALSE,待填充
10001,北京大学,北京,23,黑龙江,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056134,FALSE,待填充
10001,北京大学,北京,31,上海,2018,物理类,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056151,FALSE,待填充
10001,北京大学,北京,31,上海,2018,历史类,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056164,FALSE,待填充
10001,北京大学,北京,32,江苏,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056177,FALSE,待填充
10001,北京大学,北京,32,江苏,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056191,FALSE,待填充
10001,北京大学,北京,33,浙江,2018,物理类,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056205,FALSE,待填充
10001,北京大学,北京,33,浙江,2018,历史类,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056217,FALSE,待填充
10001,北京大学,北京,34,安徽,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056231,FALSE,待填充
10001,北京大学,北京,34,安徽,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056244,FALSE,待填充
10001,北京大学,北京,35,福建,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056258,FALSE,待填充
10001,北京大学,北京,35,福建,2018,文科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056272,FALSE,待填充
10001,北京大学,北京,36,江西,2018,理科,本科批,,,,,,,,,,,,2026-03-05T15:05:27.056285,FALSE,待填充
